--------- beginning of system
09-19 14:32:30.656 I/ActivityManager( 1300): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.settings/.Settings (has extras)} from uid 10008 on display 0
09-19 14:32:30.821 I/ActivityManager( 1300): Start proc 5172:com.android.settings/1000 for activity com.android.settings/.Settings
--------- beginning of main
09-19 14:32:30.874 I/art     ( 5172): Late-enabling JIT
09-19 14:32:30.877 I/art     ( 5172): JIT created with code_cache_capacity=2MB compile_threshold=1000
09-19 14:32:31.013 W/System  ( 5172): ClassLoader referenced unknown path: /system/priv-app/Settings/lib/x86
09-19 14:32:31.880 E/SurfaceFlinger(  942): ro.sf.lcd_density must be defined as a build property
09-19 14:32:31.880 D/OpenGLRenderer( 5172): Use EGL_SWAP_BEHAVIOR_PRESERVED: true
09-19 14:32:31.884 D/        ( 5172): HostConnection::get() New Host Connection established 0xabeb1560, tid 5172
09-19 14:32:32.335 D/DashboardSummary( 5172): rebuildUI took: 386 ms
09-19 14:32:32.507 D/        ( 5172): HostConnection::get() New Host Connection established 0xabeb19e0, tid 5193
09-19 14:32:32.544 I/OpenGLRenderer( 5172): Initialized EGL, version 1.4
09-19 14:32:32.671 W/EGL_emulation( 5172): eglSurfaceAttrib not implemented
09-19 14:32:32.671 W/OpenGLRenderer( 5172): Failed to set EGL_SWAP_BEHAVIOR on surface 0xa2959680, error=EGL_SUCCESS
09-19 14:32:33.100 I/IndexDatabaseHelper( 5172): Bootstrapped database
09-19 14:32:33.128 W/art     ( 3288): Suspending all threads took: 40.522ms
09-19 14:32:33.183 I/ActivityManager( 1300): Displayed com.android.settings/.Settings: +2s426ms
09-19 14:32:33.198 I/IndexDatabaseHelper( 5172): Using schema version: 115
09-19 14:32:33.199 I/IndexDatabaseHelper( 5172): Index is fine
09-19 14:32:33.222 E/Surface ( 2003): getSlotFromBufferLocked: unknown buffer: 0xa0cec790
09-19 14:32:33.703 V/NFC     ( 5172): this device does not have NFC support
09-19 14:32:34.342 D/WifiService( 1300): New client listening to asynchronous messages
09-19 14:32:34.430 E/BluetoothAdapter( 5172): Bluetooth binder is null
09-19 14:32:34.568 I/ActivityManager( 1300): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from uid 1000 on display 0
09-19 14:32:34.696 D/SubSettings( 5172): Launching fragment com.android.settings.applications.ManageApplications
09-19 14:32:35.156 W/EGL_emulation( 5172): eglSurfaceAttrib not implemented
09-19 14:32:35.156 W/OpenGLRenderer( 5172): Failed to set EGL_SWAP_BEHAVIOR on surface 0xa08f4240, error=EGL_SUCCESS
09-19 14:32:35.239 I/art     ( 5172): Background sticky concurrent mark sweep GC freed 4010(350KB) AllocSpace objects, 1(84KB) LOS objects, 0% free, 3MB/3MB, paused 5.968ms total 534.374ms
09-19 14:32:35.599 I/art     ( 5172): Background partial concurrent mark sweep GC freed 10177(462KB) AllocSpace objects, 0(0B) LOS objects, 39% free, 3MB/6MB, paused 1.416ms total 226.427ms
09-19 14:32:35.686 I/ActivityManager( 1300): Displayed com.android.settings/.SubSettings: +1s87ms
09-19 14:32:36.086 D/Index   ( 5172): Indexing locale 'en_US' took 2849 millis
09-19 14:32:36.173 E/Surface ( 5172): getSlotFromBufferLocked: unknown buffer: 0xb3fd3110
09-19 14:32:36.265 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.266 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.618 I/art     ( 5172): Background partial concurrent mark sweep GC freed 3120(219KB) AllocSpace objects, 0(0B) LOS objects, 39% free, 5MB/9MB, paused 11.396ms total 20.907ms
09-19 14:32:36.943 I/art     ( 5232): Late-enabling JIT
09-19 14:32:36.946 I/art     ( 5232): JIT created with code_cache_capacity=2MB compile_threshold=1000
09-19 14:32:36.959 I/ActivityManager( 1300): Start proc 5232:com.android.defcontainer/u0a3 for service com.android.defcontainer/.DefaultContainerService
09-19 14:32:36.972 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.973 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.973 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.973 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.976 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.977 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.977 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:36.977 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.001 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.032 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.034 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.037 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.049 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.052 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.055 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.059 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.061 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.061 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.061 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.062 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.064 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.065 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.065 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.065 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.067 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.067 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.071 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.073 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.080 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.083 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.086 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.089 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.094 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.097 W/MountService( 1300): No primary storage defined yet; hacking together a stub
09-19 14:32:37.101 W/MountService( 1300): No primary storage defined yet; hacking together a stub
